"TOA5","CR3000","CR3000","2700","CR3000.Std.13","CPU:3d_v2_3.cr3","38941","ts_data"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","diag_csat","t_hmp","e_hmp"
"TS","RN","m/s","m/s","m/s","C","unitless","C","kPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-01-13 17:30:21.3",26109,2.14825,-0.43825,-1.624,26.2146,0,33.60422,2.528093
"2020-01-13 17:30:21.4",26110,4.34125,0.37725,-1.92675,26.39758,0,33.60422,2.528093
"2020-01-13 17:30:21.5",26111,3.17425,-1.2405,-0.675,26.11279,0,33.60422,2.528093
"2020-01-13 17:30:21.6",26112,3.265,0.31275,-0.7645,26.09726,0,33.60422,2.528007
"2020-01-13 17:30:21.7",26113,4.3415,-0.1115,-1.46675,25.81253,0,33.60422,2.528007
"2020-01-13 17:30:21.8",26114,1.8595,0.8710001,-0.0815,26.28708,0,33.60754,2.528389
"2020-01-13 17:30:21.9",26115,2.0315,-1.1025,-0.803,25.9816,0,33.60422,2.528007
"2020-01-13 17:30:22",26116,3.16075,-0.94525,-1.03425,26.2146,0,33.60422,2.52792
"2020-01-13 17:30:22.1",26117,3.70725,-0.38725,-0.70275,26.30438,0,33.59924,2.52713
"2020-01-13 17:30:22.2",26118,3.431,0.85475,-1.3395,26.47183,0,33.6009,2.527279
"2020-01-13 17:30:22.3",26119,4.64425,-1.021,-0.56675,25.99023,0,33.6009,2.527192
"2020-01-13 17:30:22.4",26120,4.57075,0.522,-0.42125,26.11444,0,33.59924,2.526612
"2020-01-13 17:30:22.5",26121,3.86825,-0.1115,0.56925,25.92639,0,33.59924,2.526784
"2020-01-13 17:30:22.6",26122,4.237,-1.532,-0.5805,25.95746,0,33.59924,2.526784
"2020-01-13 17:30:22.7",26123,4.088,0.9865,-1.741,26.31992,0,33.59592,2.526402
"2020-01-13 17:30:22.8",26124,0.9392501,-0.7647501,-1.132,26.40622,0,33.59592,2.526316
"2020-01-13 17:30:22.9",26125,1.29,0.01575,0.125,26.25601,0,33.59924,2.526784
"2020-01-13 17:30:23",26126,3.84475,-0.89175,-1.26175,26.63251,0,33.59592,2.525971
"2020-01-13 17:30:23.1",26127,1.69325,-0.788,-0.9825001,26.31128,0,33.59924,2.526698
"2020-01-13 17:30:23.2",26128,3.84375,0.47775,-1.6135,26.1214,0,33.59758,2.526465
"2020-01-13 17:30:23.3",26129,3.477,-0.2305,-0.40875,26.20081,0,33.59592,2.52623
"2020-01-13 17:30:23.4",26130,3.0985,-0.09425,-1.7715,26.13174,0,33.6009,2.526933
"2020-01-13 17:30:23.5",26131,3.27775,-0.9080001,-1.28325,26.21802,0,33.59924,2.526784
"2020-01-13 17:30:23.6",26132,4.63675,-0.6727501,-0.6075,26.17319,0,33.60255,2.527167
"2020-01-13 17:30:23.7",26133,3.91125,-0.3455,-1.41825,26.06268,0,33.60754,2.52813
"2020-01-13 17:30:23.8",26134,2.69225,0.52175,-0.6792501,26.41312,0,33.60754,2.528044
"2020-01-13 17:30:23.9",26135,2.24725,-0.4685,-0.8055,26.33026,0,33.60588,2.52781
"2020-01-13 17:30:24",26136,2.5525,0.00875,0.837,26.35101,0,33.60255,2.52734
"2020-01-13 17:30:24.1",26137,0.78725,-0.5155,-1.96425,26.28366,0,33.60588,2.52781
"2020-01-13 17:30:24.2",26138,4.44175,-0.487,-0.29475,26.19733,0,33.60588,2.52781
"2020-01-13 17:30:24.3",26139,2.7205,-0.39725,-1.42825,26.17487,0,33.60588,2.527982
"2020-01-13 17:30:24.4",26140,1.2525,-1.3155,-0.9225,26.10068,0,33.60255,2.527513
"2020-01-13 17:30:24.5",26141,2.05725,-0.46675,-0.0515,26.15417,0,33.60422,2.527747
"2020-01-13 17:30:24.6",26142,2.874,0.2505,-0.2305,26.15765,0,33.6009,2.527452
"2020-01-13 17:30:24.7",26143,2.77975,-1.61125,-0.5545,26.33374,0,33.59592,2.526575
"2020-01-13 17:30:24.8",26144,4.65625,-0.197,-1.40375,26.03168,0,33.59758,2.526896
"2020-01-13 17:30:24.9",26145,4.79525,-0.3465,-0.6850001,26.39932,0,33.60255,2.527513
"2020-01-13 17:30:25",26146,1.92925,-1.19075,-0.8652501,26.30609,0,33.60255,2.527772
"2020-01-13 17:30:25.1",26147,3.42225,-1.643,-0.53225,26.16455,0,33.59924,2.527044
"2020-01-13 17:30:25.2",26148,2.8105,0.608,-1.27825,26.34064,0,33.60255,2.527685
"2020-01-13 17:30:25.3",26149,5.789001,-0.10125,-1.032,26.24911,0,33.59924,2.52713
"2020-01-13 17:30:25.4",26150,1.903,-1.47425,0.5145,26.65323,0,33.6009,2.527365
"2020-01-13 17:30:25.5",26151,1.844,0.492,0.0535,26.47183,0,33.6009,2.527452
